epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,1022.92,0.67755,0.43828,1.05695,0.81538,0.93973,0.9242,0.65214,0.76497,0.45425,1.13565,0.00104538,0.00104538,0.00104538
115,1033.66,0.64993,0.42776,1.05594,0.89678,0.95558,0.93979,0.69234,0.74108,0.42207,1.12296,0.00103987,0.00103987,0.00103987
116,1044.45,0.67412,0.45016,1.04888,0.90442,0.96046,0.95648,0.68015,0.80812,0.45709,1.17826,0.00103437,0.00103437,0.00103437
117,1056.18,0.68621,0.46417,1.08397,0.93285,0.9697,0.97579,0.68772,0.81864,0.40121,1.20109,0.00102887,0.00102887,0.00102887
118,1067.07,0.65829,0.42511,1.04752,0.97811,0.94202,0.98068,0.70234,0.77892,0.39806,1.16468,0.00102337,0.00102337,0.00102337
119,1077.04,0.65782,0.42246,1.05851,0.95085,0.96653,0.97659,0.69486,0.76805,0.40238,1.14977,0.00101787,0.00101787,0.00101787
120,1088.07,0.65527,0.43409,1.03278,0.96385,0.95926,0.97692,0.69258,0.78892,0.40729,1.16656,0.00101237,0.00101237,0.00101237
121,1097.73,0.67904,0.45036,1.05879,0.98959,0.92994,0.97612,0.71275,0.79349,0.4191,1.19807,0.00100687,0.00100687,0.00100687
122,1107.1,0.66212,0.44882,1.04395,0.97187,0.93421,0.97206,0.69166,0.7732,0.39961,1.16215,0.00100137,0.00100137,0.00100137
123,1117.23,0.68633,0.45329,1.07,0.98898,0.92105,0.96369,0.70603,0.73333,0.40809,1.13226,0.000995866,0.000995866,0.000995866
124,1127.96,0.7168,0.45759,1.08358,0.96023,0.92553,0.96162,0.71012,0.72952,0.40647,1.12076,0.000990365,0.000990365,0.000990365
125,1138.79,0.66824,0.42887,1.04592,0.95196,0.93565,0.96399,0.70886,0.73422,0.4216,1.11773,0.000984864,0.000984864,0.000984864
126,1149.03,0.64206,0.41867,1.02158,0.95393,0.88158,0.95211,0.70458,0.76273,0.43086,1.1278,0.000979362,0.000979362,0.000979362
127,1157.95,0.62136,0.40456,1.03605,0.9248,0.93421,0.95392,0.68558,0.78504,0.43742,1.14674,0.000973861,0.000973861,0.000973861
128,1168.44,0.63525,0.43442,1.02599,0.91692,0.94737,0.95142,0.67836,0.78127,0.42779,1.14829,0.00096836,0.00096836,0.00096836
129,1181.46,0.63437,0.4121,1.03573,0.91985,0.93421,0.95683,0.68691,0.80018,0.44409,1.19326,0.000962859,0.000962859,0.000962859
130,1193.57,0.6836,0.4392,1.05884,0.96581,0.9084,0.95979,0.69632,0.80063,0.41264,1.18043,0.000957358,0.000957358,0.000957358
131,1204.22,0.622,0.40531,1.02981,0.98123,0.88472,0.95598,0.68489,0.76746,0.39723,1.14784,0.000951857,0.000951857,0.000951857
132,1213.75,0.66361,0.40965,1.04466,0.95313,0.94737,0.95315,0.70119,0.75676,0.39785,1.1388,0.000946356,0.000946356,0.000946356
